Region,Lobe,Hemisphere,Region_Type,Degree,Degree_Cent,Strength,Betweenness,Closeness,Eigenvector,Complex_Close_T2,Complex_Close_T3,Complex_Btwn_T2,Degree_Cent_n,Strength_n,Betweenness_n,Closeness_n,Eigenvector_n,Complex_Close_T2_n,Complex_Close_T3_n,Composite_Hub
R_lateralorbitofrontal,Frontal,R,Cortical,39,0.48148148148148145,255.60217121868078,0.011419753086419753,4.6443520965980625,0.12886167143138536,0.627906976744186,0.5704225352112676,0.9629629629629629,0.717391304347826,0.6120761586985797,0.1178343949044586,0.49761286264092036,0.6020768622132138,0.919300337904989,0.9099711907810498,0.6251804444987197
R_lingual,Occipital,R,Cortical,27,0.3333333333333333,199.84265110793552,0.004012345679012346,4.5572305645722375,0.1032141480940269,0.5586206896551724,0.5159235668789809,1.0,0.45652173913043476,0.4521507341232168,0.04140127388535032,0.4633692646362254,0.46306962434862814,0.641025641025641,0.6742906774753907,0.4559755649464124
R_medialorbitofrontal,Frontal,R,Cortical,30,0.37037037037037035,200.02828777441835,0.0030864197530864196,4.715658894789386,0.10895303642956382,0.5912408759124088,0.5547945205479452,0.9753086419753086,0.5217391304347826,0.4526831637898469,0.03184713375796178,0.5256403924086681,0.49417387583689043,0.772038180797305,0.842387920298879,0.5200728281891905
R_middletemporal,Temporal,R,Cortical,28,0.345679012345679,202.0353896500375,0.008333333333333333,4.412270054606769,0.09469938536738826,0.5364238410596026,0.46285714285714286,0.9753086419753086,0.4782608695652174,0.45843978829068344,0.08598726114649682,0.406391737790834,0.4169203867737742,0.551876379690949,0.4448051948051947,0.40609737400902135
R_parahippocampal,Temporal,R,Cortical,28,0.345679012345679,171.67630107109983,0.0,4.218304663349383,0.0882577511314842,0.5159235668789809,0.4682080924855491,1.0,0.4782608695652174,0.3713660451690666,0.0,0.3301525724479607,0.3820073165841595,0.469541074636616,0.4679453494482395,0.35703903255017994
R_paracentral,Frontal,R,Cortical,17,0.20987654320987653,131.86421883549866,0.0006172839506172839,4.643932455079979,0.08166488666566764,0.525974025974026,0.49693251533742333,0.9753086419753086,0.2391304347826087,0.2571799090238451,0.006369426751592357,0.49744792023096535,0.3462745923380793,0.5099067599067598,0.5921639709983267,0.3497818591474539
R_parsopercularis,Frontal,R,Cortical,20,0.24691358024691357,152.14162787106824,0.0,4.553427326639797,0.09193752406979643,0.5126582278481012,0.48502994011976047,1.0,0.30434782608695654,0.31533810771101134,0.0,0.46187438101966904,0.40195135037624713,0.4564264849074973,0.54069134458356,0.3543756420978488
R_parsorbitalis,Frontal,R,Cortical,20,0.24691358024691357,136.21462699770518,0.0,4.0071370783959015,0.07286327948160833,0.5192307692307693,0.46551724137931033,1.0,0.30434782608695654,0.26965743521193236,0.0,0.2471519901277851,0.2985706839594081,0.48282380013149256,0.45630877742946696,0.2941229304210059
R_parstriangularis,Frontal,R,Cortical,19,0.2345679012345679,149.0109069516837,0.00030864197530864197,4.328777787226181,0.08515757324913613,0.5225806451612903,0.4879518072289157,1.0,0.2826086956521739,0.30635880029830176,0.0031847133757961785,0.37357464224396186,0.36520463514605106,0.4962779156327543,0.5533269441401971,0.3400766209270337
R_pericalcarine,Occipital,R,Cortical,22,0.2716049382716049,151.65058121278906,0.0,4.256207732971898,0.08345561852307275,0.54,0.5192307692307693,0.9753086419753086,0.34782608695652173,0.3139297231848239,0.0,0.3450505827229938,0.35598019572050865,0.5662393162393163,0.6885926573426574,0.37394550888097455
